customer_id,gender,first_name,last_name,zip_code,address,email,birth_date,age
31277,male,Horst-Dieter,Tröst,32713,Kazim-Wilms-Ring 0,sbarth@example.com,1962-09-06,61
66841,male,Marek,Beckmann,05482,Trude-Schinke-Platz 99,mscholtz@example.org,1988-02-05,35
53830,female,Etta,Matthäi,89969,Thiesstraße 683,wendefritz@example.net,1998-01-06,25
50057,female,Sofie,Harloff,84021,Henckstraße 730,hildburg92@example.org,1976-01-25,47
58584,female,Heidemarie,Graf,05482,Riza-Barkholz-Weg 1/1,liobaheinz@example.org,1990-05-17,33
35785,diverse,Anastasia,Heß,20377,Holzapfelstr. 968,tinapreiss@example.org,1985-03-22,38
49380,female,Freia,Pergande,28475,Sigismund-Ackermann-Platz 931,hellwigagathe@example.org,1962-07-19,61
92660,diverse,Theresa,Käster,39048,Jost-Vollbrecht-Ring 61,vdowerg@example.com,1995-07-11,28
17697,female,Susana,Misicher,59732,Karlfried-Kraushaar-Straße 4/2,ihuebel@example.net,1986-04-11,37
2667,female,Dietlinde,Krause,00594,Jolanta-Graf-Straße 16,riza56@example.org,1956-08-06,67
37326,diverse,Theda,Dussen van,96480,Raimund-Wulf-Gasse 46,mhermighausen@example.com,1965-12-25,58
52997,female,Raissa,Mülichen,08929,Kuno-Budig-Platz 0/2,isa46@example.net,1988-06-19,35
85925,female,Marianna,Wilmsen,95179,Laszlo-van der Dussen-Gasse 5/4,mhoevel@example.net,1960-11-23,63
91676,female,Daniela,Peukert,58257,Austermühleallee 69,geigenwillig@example.org,1992-02-10,31
61581,male,Sergei,Oderwald,62804,Thoralf-Etzler-Straße 340,veroniquehecker@example.net,1998-06-28,25
29642,male,Dennis,Blümel,07564,Hedwig-Steckel-Platz 9,dagmarhamann@example.org,1966-09-26,57
48718,diverse,Rose,Haering,18661,Kranzstr. 3,dkuhl@example.com,1995-06-06,28
20306,female,Daniela,Schenk,87613,Heßallee 6/0,scholtzmarita@example.org,1972-03-07,51
24047,female,Birte,Wieloch,56106,Hermighausenplatz 22,caecilie91@example.com,1960-01-18,63
38503,male,Udo,Kranz,84331,Staudestraße 75,marcella23@example.net,1978-11-24,45
50151,male,Calogero,Eberhardt,54646,Baumgasse 010,hillersibilla@example.net,1993-03-07,30
68453,male,Pavel,Langern,41538,Gotthilf-Jockel-Weg 0/9,carolinsager@example.org,1984-11-11,39
19840,female,Anette,Lindner,54959,Babett-Knappe-Straße 9,schwitalelwira@example.net,1980-03-12,43
2012,female,Elzbieta,Hertrampf,38866,Miroslav-Biggen-Gasse 24,ullagorlitz@example.org,1959-02-22,64
44213,male,Till,Hauffer,43902,Heinweg 714,iheinrich@example.org,1953-10-27,70
12258,female,Petra,Drubin,24410,Lorchring 5,rsorgatz@example.com,1954-04-20,69
8594,male,Ignatz,Rädel,01420,Jähnstr. 69,qgumprich@example.org,1973-12-27,50
98354,female,Tabea,Dobes,71121,Marvin-Wulf-Platz 039,egberttrommler@example.org,1981-08-22,42
31295,female,Katarina,Eigenwillig,25800,Gnatzgasse 102,kraushaarhenni@example.com,1972-11-26,51
19290,diverse,Evamaria,Bender,40925,Hofmannring 3,soedingsalvatore@example.org,1984-07-14,39
