customer_id,gender,first_name,last_name,zip_code,address,email,birth_date,age
75333,female,Nermin,Pärtzelt,66553,Holzapfelstraße 56,maraatzler@example.net,1964-01-25,59
48695,female,Lucia,Wohlgemut,07295,Jadwiga-Otto-Platz 3,huelyaweitzel@example.com,1994-03-09,29
83997,female,Hülya,Hölzenbecher,52543,Gotthardstr. 1,osmanherrmann@example.net,1989-10-25,34
29600,female,Bianka,Nohlmans,86544,Heinz-Peter-Stey-Weg 0/0,hans-dieter82@example.org,1967-01-08,56
25162,female,Bernadette,Trapp,50238,Simon-Blümel-Ring 3/1,ppruschke@example.org,1958-06-14,65
92710,female,Anna,Lehmann,54400,Weimergasse 4,nlosekann@example.com,1999-11-14,24
54452,male,Sören,Rosemann,98196,Jäkelplatz 702,hknappe@example.org,1979-03-12,44
94059,female,Helga,Kaul,85955,Rene-Jacob-Straße 2/9,qlange@example.org,1974-08-27,49
59402,female,Irene,Reichmann,42781,Ruppersbergergasse 70,ludger68@example.net,1959-01-18,64
75582,female,Nevenka,Bolnbach,33506,Stolzestr. 4,zloewer@example.org,1971-12-28,52
97449,female,Carina,Hering,79138,Hörleallee 719,wheser@example.org,1979-10-29,44
16927,female,Maria,Ruppert,45143,Dimitrios-Lindner-Gasse 6/2,sylvesterrosenow@example.com,1999-05-27,24
43731,female,Magrit,Pergande,24599,Annegrete-Werner-Straße 1,peter69@example.net,1954-09-02,69
70437,male,Edmund,Juncken,53901,Ortmannstr. 2/7,ehuhn@example.net,1955-09-10,68
61257,female,Theresia,Scheuermann,22699,Dippelplatz 5/8,dora63@example.net,2004-10-31,19
52938,female,Anita,Holsten,95366,Lübsring 7/4,kreinmadlen@example.org,1992-08-14,31
39388,female,Melanie,Scheuermann,19278,Margrafplatz 95,mdippel@example.org,1986-03-06,37
17191,male,Justus,Karge,34129,Inka-Röhricht-Platz 1/7,galinakraushaar@example.org,1993-05-25,30
57215,female,Virginia,Mende,55631,Jüttnerring 7/2,hans-jochen84@example.com,1997-08-21,26
25474,male,Reginald,Klotz,86158,Schülergasse 3,liebelthugo@example.net,1989-09-13,34
73577,female,Daniela,Hesse,73115,Miriam-Rosenow-Straße 923,fedorschueler@example.org,1996-11-27,27
93825,female,Hedi,Ortmann,74969,Ludger-Hesse-Platz 676,mirella19@example.com,1957-10-31,66
23586,female,Patrizia,Sorgatz,41973,Schmidtkestraße 119,hellmut96@example.net,1975-07-23,48
39825,female,Alma,Juncken,95882,Ralph-Striebitz-Platz 8/5,engin60@example.net,2005-01-10,18
